pi,condition,task,success
p1,BASE,task_three_step_arith,FALSE
p1,BASE,task_number_sort,FALSE
p1,BASE,task_filter_words_by_length,FALSE
p1,BASE,task_filter_numbers,FALSE
p1,BASE,task_extract_and_filter,FALSE
p2,BASE,task_three_step_arith,TRUE
p2,BASE,task_number_sort,TRUE
p2,BASE,task_filter_words_by_length,TRUE
p2,BASE,task_filter_numbers,TRUE
p2,BASE,task_extract_and_filter,TRUE
p3,BASE,task_three_step_arith,FALSE
p3,BASE,task_number_sort,FALSE
p3,BASE,task_filter_words_by_length,FALSE
p3,BASE,task_filter_numbers,FALSE
p3,BASE,task_extract_and_filter,FALSE
p4,BASE,task_three_step_arith,FALSE
p4,BASE,task_number_sort,TRUE
p4,BASE,task_filter_words_by_length,FALSE
p4,BASE,task_filter_numbers,FALSE
p4,BASE,task_extract_and_filter,FALSE
p5,BASE,task_three_step_arith,TRUE
p5,BASE,task_number_sort,TRUE
p5,BASE,task_filter_words_by_length,FALSE
p5,BASE,task_filter_numbers,TRUE
p5,BASE,task_extract_and_filter,FALSE
p6,BASE,task_three_step_arith,TRUE
p6,BASE,task_number_sort,TRUE
p6,BASE,task_filter_words_by_length,FALSE
p6,BASE,task_filter_numbers,FALSE
p6,BASE,task_extract_and_filter,FALSE
p7,BASE,task_three_step_arith,FALSE
p7,BASE,task_number_sort,TRUE
p7,BASE,task_filter_words_by_length,FALSE
p7,BASE,task_filter_numbers,FALSE
p7,BASE,task_extract_and_filter,FALSE
p8,BASE,task_three_step_arith,TRUE
p8,BASE,task_number_sort,FALSE
p8,BASE,task_filter_words_by_length,TRUE
p8,BASE,task_filter_numbers,TRUE
p8,BASE,task_extract_and_filter,TRUE
p9,BASE,task_three_step_arith,FALSE
p9,BASE,task_number_sort,TRUE
p9,BASE,task_filter_words_by_length,FALSE
p9,BASE,task_filter_numbers,TRUE
p9,BASE,task_extract_and_filter,FALSE
p10,BASE,task_three_step_arith,FALSE
p10,BASE,task_number_sort,TRUE
p10,BASE,task_filter_words_by_length,FALSE
p10,BASE,task_filter_numbers,TRUE
p10,BASE,task_extract_and_filter,FALSE
p11,BASE,task_three_step_arith,TRUE
p11,BASE,task_number_sort,FALSE
p11,BASE,task_filter_words_by_length,TRUE
p11,BASE,task_filter_numbers,FALSE
p11,BASE,task_extract_and_filter,FALSE
p12,BASE,task_three_step_arith,TRUE
p12,BASE,task_number_sort,TRUE
p12,BASE,task_filter_words_by_length,FALSE
p12,BASE,task_filter_numbers,TRUE
p12,BASE,task_extract_and_filter,FALSE
p13,BASE,task_three_step_arith,TRUE
p13,BASE,task_number_sort,TRUE
p13,BASE,task_filter_words_by_length,FALSE
p13,BASE,task_filter_numbers,TRUE
p13,BASE,task_extract_and_filter,TRUE
p14,BASE,task_three_step_arith,TRUE
p14,BASE,task_number_sort,TRUE
p14,BASE,task_filter_words_by_length,TRUE
p14,BASE,task_filter_numbers,TRUE
p14,BASE,task_extract_and_filter,TRUE
p15,BASE,task_three_step_arith,FALSE
p15,BASE,task_number_sort,FALSE
p15,BASE,task_filter_words_by_length,FALSE
p15,BASE,task_filter_numbers,FALSE
p15,BASE,task_extract_and_filter,FALSE
p16,EXP,task_three_step_arith,TRUE
p16,EXP,task_number_sort,TRUE
p16,EXP,task_filter_words_by_length,TRUE
p16,EXP,task_filter_numbers,TRUE
p16,EXP,task_extract_and_filter,TRUE
p17,EXP,task_three_step_arith,TRUE
p17,EXP,task_number_sort,TRUE
p17,EXP,task_filter_words_by_length,TRUE
p17,EXP,task_filter_numbers,TRUE
p17,EXP,task_extract_and_filter,TRUE
p18,EXP,task_three_step_arith,TRUE
p18,EXP,task_number_sort,TRUE
p18,EXP,task_filter_words_by_length,TRUE
p18,EXP,task_filter_numbers,TRUE
p18,EXP,task_extract_and_filter,TRUE
p19,EXP,task_three_step_arith,TRUE
p19,EXP,task_number_sort,TRUE
p19,EXP,task_filter_words_by_length,TRUE
p19,EXP,task_filter_numbers,TRUE
p19,EXP,task_extract_and_filter,TRUE
p20,EXP,task_three_step_arith,TRUE
p20,EXP,task_number_sort,TRUE
p20,EXP,task_filter_words_by_length,TRUE
p20,EXP,task_filter_numbers,TRUE
p20,EXP,task_extract_and_filter,FALSE
p21,EXP,task_three_step_arith,TRUE
p21,EXP,task_number_sort,TRUE
p21,EXP,task_filter_words_by_length,TRUE
p21,EXP,task_filter_numbers,TRUE
p21,EXP,task_extract_and_filter,TRUE
p22,EXP,task_three_step_arith,FALSE
p22,EXP,task_number_sort,TRUE
p22,EXP,task_filter_words_by_length,TRUE
p22,EXP,task_filter_numbers,TRUE
p22,EXP,task_extract_and_filter,FALSE
p23,EXP,task_three_step_arith,FALSE
p23,EXP,task_number_sort,TRUE
p23,EXP,task_filter_words_by_length,FALSE
p23,EXP,task_filter_numbers,FALSE
p23,EXP,task_extract_and_filter,FALSE
p24,EXP,task_three_step_arith,TRUE
p24,EXP,task_number_sort,TRUE
p24,EXP,task_filter_words_by_length,TRUE
p24,EXP,task_filter_numbers,TRUE
p24,EXP,task_extract_and_filter,TRUE
p25,EXP,task_three_step_arith,TRUE
p25,EXP,task_number_sort,TRUE
p25,EXP,task_filter_words_by_length,TRUE
p25,EXP,task_filter_numbers,TRUE
p25,EXP,task_extract_and_filter,FALSE
p26,EXP,task_three_step_arith,TRUE
p26,EXP,task_number_sort,TRUE
p26,EXP,task_filter_words_by_length,TRUE
p26,EXP,task_filter_numbers,TRUE
p26,EXP,task_extract_and_filter,FALSE
p27,EXP,task_three_step_arith,TRUE
p27,EXP,task_number_sort,TRUE
p27,EXP,task_filter_words_by_length,TRUE
p27,EXP,task_filter_numbers,TRUE
p27,EXP,task_extract_and_filter,TRUE
p28,EXP,task_three_step_arith,TRUE
p28,EXP,task_number_sort,TRUE
p28,EXP,task_filter_words_by_length,TRUE
p28,EXP,task_filter_numbers,TRUE
p28,EXP,task_extract_and_filter,TRUE
p29,EXP,task_three_step_arith,TRUE
p29,EXP,task_number_sort,TRUE
p29,EXP,task_filter_words_by_length,TRUE
p29,EXP,task_filter_numbers,TRUE
p29,EXP,task_extract_and_filter,TRUE
p30,EXP,task_three_step_arith,TRUE
p30,EXP,task_number_sort,TRUE
p30,EXP,task_filter_words_by_length,TRUE
p30,EXP,task_filter_numbers,TRUE
p30,EXP,task_extract_and_filter,TRUE
