tii,tid,pid,mode,mistake,detail,feedback,isCritical
2,tutorial_arith_1,25,b,Ambiguous cases,"For input+1, user provided 1->2 twice",,
8,task_number_sort,15,e,Ambiguous cases,"For sorting, all outputs are reversed input",,
8,task_number_sort,19,b,Ambiguous cases,"For sorting, all outputs are reversed input",,
8,task_number_sort,27,e,Ambiguous cases,"For sorting, all outputs are reversed input",,
4,tutorial_sum,7,e,Ambiguous cases,"For sum, all outputs are counts of input",,
10,task_filter_numbers,8,b,Ambiguous cases,Insufficient to find the correct conditional,,TRUE
10,task_filter_numbers,12,b,Ambiguous cases,Insufficient to find the correct conditional,,TRUE
10,task_filter_numbers,30,b,Ambiguous cases,Insufficient to find the correct conditional,,TRUE
10,task_filter_numbers,19,b,Ambiguous cases,Insufficient to find the correct conditional,,
10,task_filter_numbers,23,b,Ambiguous cases,Insufficient to find the correct conditional,,
10,task_filter_numbers,26,e,Ambiguous cases,Insufficient to find the correct conditional,,
10,task_filter_numbers,28,e,Ambiguous cases,Insufficient to find the correct conditional,,
10,task_filter_numbers,29,e,Ambiguous cases,Insufficient to find the correct conditional,,
7,task_three_step_arith,21,e,Ambiguous cases,kept trying with a single case,,
7,task_three_step_arith,23,b,Ambiguous cases,kept trying with a single case,,
7,task_three_step_arith,4,b,Ambiguous cases,single case,,TRUE
7,task_three_step_arith,8,b,Ambiguous cases,single case,,TRUE
7,task_three_step_arith,12,b,Ambiguous cases,single case,,TRUE
7,task_three_step_arith,19,b,Ambiguous cases,single case,,TRUE
8,task_number_sort,4,b,Ambiguous cases,single case,,TRUE
8,task_number_sort,22,b,Ambiguous cases,single case,,TRUE
8,task_number_sort,30,b,Ambiguous cases,single case,,TRUE
10,task_filter_numbers,22,b,Ambiguous cases,single case,,TRUE
3,tutorial_arith_2,9,b,Ambiguous cases,single case,,
3,tutorial_arith_2,12,b,Ambiguous cases,single case,,
3,tutorial_arith_2,19,b,Ambiguous cases,single case,,
3,tutorial_arith_2,20,b,Ambiguous cases,single case,,
3,tutorial_arith_2,22,b,Ambiguous cases,single case,,
3,tutorial_arith_2,23,b,Ambiguous cases,single case,,
3,tutorial_arith_2,24,b,Ambiguous cases,single case,,
3,tutorial_arith_2,27,e,Ambiguous cases,single case,,
3,tutorial_arith_2,29,e,Ambiguous cases,single case,,
7,task_three_step_arith,1,e,Ambiguous cases,single case,,
7,task_three_step_arith,7,e,Ambiguous cases,single case,,
7,task_three_step_arith,10,b,Ambiguous cases,single case,,
7,task_three_step_arith,27,e,Ambiguous cases,single case,,
8,task_number_sort,25,b,Ambiguous cases,single case,,
10,task_filter_numbers,14,e,Ambiguous cases,single case,,
10,task_filter_numbers,20,b,Ambiguous cases,single case,,
10,task_filter_numbers,21,e,Ambiguous cases,single case,,
1,tutorial_1,19,b,Empty cases,"Clicked ""Teach Computer"" without putting any output; Trying out",,
6,tutorial_filter_1,19,b,Empty cases,Last case last column is empty,,
6,tutorial_filter_1,1,e,Empty cases,Last case last column is empty,EMPTY_CELL,
7,task_three_step_arith,8,b,Empty cases,Last case last column is empty,,
9,task_filter_words_by_length,21,e,Empty cases,Last case last column is empty,EMPTY_CELL,
4,tutorial_sum,19,b,Empty cases,Left the last case empty,,
3,tutorial_arith_2,14,e,Missing step,Did not add a crucial step ,NO_PROGRAM_FOUND,
3,tutorial_arith_2,23,b,Missing step,Did not add a crucial step ,,
3,tutorial_arith_2,27,e,Missing step,Did not add a crucial step ,NO_PROGRAM_FOUND,
3,tutorial_arith_2,30,b,Missing step,Did not add a crucial step ,,
9,task_filter_words_by_length,4,b,Missing step,Filtering without T or F,FILTER_WITHOUT_TF,TRUE
9,task_filter_words_by_length,20,b,Missing step,Filtering without T or F,,TRUE
10,task_filter_numbers,4,b,Missing step,Filtering without T or F,,TRUE
10,task_filter_numbers,10,b,Missing step,Filtering without T or F,,TRUE
11,task_extract_and_filter,4,b,Missing step,Filtering without T or F,,TRUE
11,task_extract_and_filter,10,b,Missing step,Filtering without T or F,,TRUE
11,task_extract_and_filter,12,b,Missing step,Filtering without T or F,,TRUE
6,tutorial_filter_1,1,e,Missing step,Filtering without T or F,FILTER_WITHOUT_TF,
6,tutorial_filter_1,2,e,Missing step,Filtering without T or F,FILTER_WITHOUT_TF,
6,tutorial_filter_1,4,b,Missing step,Filtering without T or F,,
6,tutorial_filter_1,7,e,Missing step,Filtering without T or F,FILTER_WITHOUT_TF,
6,tutorial_filter_1,8,b,Missing step,Filtering without T or F,,
6,tutorial_filter_1,9,b,Missing step,Filtering without T or F,,
6,tutorial_filter_1,13,e,Missing step,Filtering without T or F,Filter_WITHOUT_TF,
6,tutorial_filter_1,14,e,Missing step,Filtering without T or F,Filter_WITHOUT_TF,
6,tutorial_filter_1,20,b,Missing step,Filtering without T or F,,
9,task_filter_words_by_length,1,e,Missing step,Filtering without T or F,FILTER_WITHOUT_TF,
9,task_filter_words_by_length,8,b,Missing step,Filtering without T or F,,
9,task_filter_words_by_length,9,b,Missing step,Filtering without T or F,,
9,task_filter_words_by_length,11,e,Missing step,Filtering without T or F,FILTER_WITHOUT_TF,
9,task_filter_words_by_length,13,e,Missing step,Filtering without T or F,FILTER_WITHOUT_TF,
9,task_filter_words_by_length,14,e,Missing step,Filtering without T or F,FILTER_WITHOUT_TF,
9,task_filter_words_by_length,29,e,Missing step,Filtering without T or F,FIlter_WITHOUT_TF,
9,task_filter_words_by_length,30,b,Missing step,Filtering without T or F,,
10,task_filter_numbers,1,e,Missing step,Filtering without T or F,FILTER_WITHOUT_TF,
10,task_filter_numbers,2,e,Missing step,Filtering without T or F,FILTER_WITHOUT_TF,
10,task_filter_numbers,5,b,Missing step,Filtering without T or F,,
10,task_filter_numbers,6,b,Missing step,Filtering without T or F,,
10,task_filter_numbers,7,e,Missing step,Filtering without T or F,FILTER_WITHOUT_TF,
10,task_filter_numbers,9,b,Missing step,Filtering without T or F,,
10,task_filter_numbers,11,e,Missing step,Filtering without T or F,FILTER_WITHOUT_TF,
10,task_filter_numbers,12,b,Missing step,Filtering without T or F,,
10,task_filter_numbers,15,e,Missing step,Filtering without T or F,FILTER_WITHOUT_TF,
10,task_filter_numbers,17,b,Missing step,Filtering without T or F,,
10,task_filter_numbers,24,b,Missing step,Filtering without T or F,,
10,task_filter_numbers,26,e,Missing step,Filtering without T or F,FILTER_WITHOUT_TF,
10,task_filter_numbers,27,e,Missing step,Filtering without T or F,FILTER_WITHOUT_TF,
10,task_filter_numbers,28,e,Missing step,Filtering without T or F,FILTER_WITHOUT_TF,
10,task_filter_numbers,29,e,Missing step,Filtering without T or F,FILTER_WITHOUT_TF,
11,task_extract_and_filter,18,e,Missing step,Filtering without T or F,FILTER_WITHOUT_TF,
7,task_three_step_arith,3,e,Missing step,Missing Input-1,NO_PROGRAM_FOUND,
7,task_three_step_arith,12,b,Missing step,Missing Input-1,,
7,task_three_step_arith,18,e,Missing step,Missing Input-1,NO_PROGRAM_FOUND,
7,task_three_step_arith,27,e,Missing step,Missing Input-1,NO_PROGRAM_FOUND,
9,task_filter_words_by_length,8,b,Missing step,T and F without numbers,,TRUE
9,task_filter_words_by_length,9,b,Missing step,T and F without numbers,,TRUE
9,task_filter_words_by_length,10,b,Missing step,T and F without numbers,,TRUE
